33063936 8767  0 0 -4
16548864 4671  1 0 4
16547840 1566  1 0 2
16580608 1690  1 0 2
16326656 5658  3 0 10
16263168 282  3 0 18
16259072 154  3 0 16
15996928 402  3 0 14
15994944 401  3 0 15
15740928 432  4 0 29
15736896 4112  8 -1 0
16959 33063936  0 0 -10
8767 16548864  0 0 -12
574 16547904  -1 0 -12
1566 16580608  -1 0 -7
1690 16326656  -1 0 -4
538 16263168  -3 0 -21
282 16259072  -3 0 -28
154 15996928  -3 0 -18
402 15994944  -3 0 -28
401 15740992  -3 0 -36
272 15736896  -4 0 -36
12419072 1690  1 0 2
12165120 5658  3 0 10
12101632 282  3 0 22
12099648 278  3 0 25
12095552 150  3 0 27
11833408 149  5 0 31
11833346 640  8 -1 0
1566 12419072  -1 0 -7
1690 12165120  -1 0 -4
538 12101632  -3 0 -19
282 12099648  -3 0 -32
278 12095552  -3 0 -31
150 11833408  -3 0 -31
144 11833346  -5 0 -36
14516224 1690  1 0 2
14262272 5658  3 0 10
14198784 282  3 0 22
14196800 278  3 0 25
14192704 150  3 0 27
13930560 149  5 0 31
13930498 640  8 -1 0
1566 14516224  -1 0 -7
1690 14262272  -1 0 -4
538 14198784  -3 0 -21
282 14196800  -3 0 -36
278 14192704  -3 0 -31
150 13930560  -3 0 -31
144 13930498  -5 0 -36
15564800 1690  1 0 2
31817728 5658  3 0 10
31754240 282  3 0 14
31496192 154  3 0 23
31494208 150  3 0 27
31462464 149  5 0 29
31462402 640  8 -1 0
1566 15564800  -1 0 -7
1690 31817728  -1 0 -2
538 31754240  -3 0 -19
282 31496192  -3 0 -21
154 31494208  -3 0 -31
150 31462464  -3 0 -29
144 31462402  -5 0 -33
